Player,Team,Agents,Rounds Played,ACS,KD,Kill_Asist_Trade_Survive_Percent,Average_Damage_per_Match,Kills_per_Match,Assists_per_Match,First_Kills_per_Match,First_Deaths_per_Match,HS,Clutch_success_percent,Cluthes_(won/played),Maximum_Kills,Kills,D,A,FK,FD
Derke,FNC,Jett,207,2781,137,0.71,1707,97,16,27,21,0.24,0.29,4/14,30,200,146,34,55,44
heat,VK,Jett,91,2648,122,0.69,1768,97,9,14,18,0.38,0.11,2/19,24,88,72,8,13,16
leaf,C9,Jett,236,2634,119,0.69,1687,89,25,23,18,0.22,0.18,3/17,28,210,176,58,55,43
Sacy,VKS,Sova,145,2537,127,0.77,1683,92,43,12,4,0.27,0.16,3/19,29,133,105,62,18,6
ScreaM,MTL,Jett,187,2518,121,0.73,1640,88,17,16,13,0.31,0.1,2/21,26,164,135,31,29,24
keznit,KRU,Reyna,317,2463,115,0.7,1556,86,22,13,13,0.24,0.23,7/30,28,272,236,69,41,42
yay,NV,Jett,156,2427,123,0.7,1609,85,14,19,12,0.23,0.27,4/15,24,132,107,22,30,18
DubsteP,TS,Jett,163,2377,115,0.71,1562,87,11,22,14,0.28,,0/13,28,141,123,18,36,23
BuZz,VS,Jett,170,2374,111,0.71,1476,80,15,16,15,0.24,0.25,3/12,26,136,122,25,27,25
Patiphan,X10,Jett,208,2372,112,0.7,1589,81,23,16,13,0.2,,0/18,27,168,150,48,33,27
Chronicle,GMB,Sova,356,2369,129,0.74,1608,83,23,8,7,0.29,0.1,5/48,30,295,229,81,29,25
xand,FUR,Jett,134,2312,103,0.73,1452,79,17,16,16,0.23,,0/12,20,106,103,23,22,21
cNed,ACE,Jett,283,2295,119,0.73,1522,81,22,17,12,0.28,0.09,2/22,25,230,194,62,49,35
zeek,ACE,Reyna,283,2293,120,0.72,1464,79,35,17,12,0.23,0.15,4/27,24,224,187,100,47,33
saadhak,VKS,Sova,145,2290,103,0.68,1487,74,41,12,11,0.18,0.29,4/14,21,108,105,59,17,16
d3ffo,GMB,Jett,356,2269,108,0.71,1458,77,17,21,15,0.25,0.16,4/25,28,275,254,59,75,55
ShahZaM,SEN,Sova,199,2260,119,0.71,1499,80,30,7,6,0.19,0.1,2/21,27,160,134,59,13,11
TenZ,SEN,Jett,199,2252,106,0.68,1444,76,19,20,15,0.2,0.13,2/16,22,152,143,38,40,29
Sushiboys,X10,Cypher,208,2228,117,0.71,1473,81,22,13,7,0.2,0.08,2/24,24,168,143,45,27,14
Mazino,KRU,Sova,317,2153,100,0.7,1437,71,29,4,5,0.26,0.07,3/43,28,226,226,92,14,16
LAMMYSNAX,FS,Sky,82,2130,94,0.68,1480,74,24,11,6,0.26,,0/14,24,61,65,20,9,5
dispenser,TS,Sage,163,2120,118,0.75,1446,81,26,6,8,0.25,0.14,4/28,20,132,112,42,9,13
nAts,GMB,Viper,356,2105,117,0.71,1399,75,27,8,9,0.29,0.13,5/39,29,266,228,95,27,32
Fisker,CR,Jett,76,2065,82,0.58,1305,72,13,12,25,0.31,0.25,2/8,21,55,67,10,9,19
nzr,FUR,Sova,134,2058,114,0.78,1443,72,28,6,5,0.2,0.12,4/33,18,97,85,38,8,7
crashies,NV,Sova,156,2053,122,0.79,1412,75,33,5,9,0.26,0.11,2/19,25,117,96,51,8,14
Bazzi,CR,Sova,40,2050,90,0.7,1446,70,35,5,5,0.26,0.2,1/5,16,28,31,14,2,2
Witz,TS,Reyna,163,2046,102,0.74,1370,72,26,6,8,0.22,,0/14,18,117,115,43,10,13
SicK,SEN,Sky,199,2033,105,0.75,1380,72,28,16,7,0.23,0.18,4/22,20,143,136,55,31,14
Lakia,VS,Sova,23,2030,94,0.7,1369,65,13,13,9,0.17,,0/1,15,15,16,3,3,2
doma,FNC,Sage,207,2021,115,0.75,1399,73,38,6,5,0.29,0.06,1/17,22,151,131,79,12,10
JessieVash,TS,Sova,163,2017,84,0.73,1447,62,39,10,11,0.25,0.24,5/21,15,101,120,64,16,18
